input_id,titulo_input,autores_input,source,source_id,titulo_candidato,autores_candidato,editorial_candidata,idioma_candidato,isbn_13,isbn_10,title_score,authors_score,language_score,publisher_score,score
1,Deep Learning with Python,Francois Chollet,openlibrary,/works/OL19541947W,Deep Learning with Python,Francois Chollet,Manning Publications,ingles,9781638352044,1638352046,1.0000,1.0000,1.0000,1.0000,1.0000
1,Deep Learning with Python,Francois Chollet,openlibrary,/works/OL25472735W,"Deep Learning with Python, Second Edition",François Chollet,Manning Publications Co. LLC,ingles,9781617296864,1638350094,1.0000,1.0000,1.0000,1.0000,1.0000
1,Deep Learning with Python,Francois Chollet,openlibrary,/works/OL44584320W,"Deep Learning with Python, Third Edition",Francois Chollet; Matthew Watson,Manning Publications Co. LLC,ingles,9781638357773,1638357773,1.0000,1.0000,1.0000,1.0000,1.0000
1,Deep Learning with Python,Francois Chollet,google_books,wzozEAAAQBAJ,Deep Learning with Python,Francois Chollet,Simon and Schuster,ingles,9781638352044,1638352046,1.0000,1.0000,1.0000,0.3200,0.9320
1,Deep Learning with Python,Francois Chollet,google_books,XHpKEAAAQBAJ,"Deep Learning with Python, Second Edition",Francois Chollet; François Chollet,Simon and Schuster,ingles,9781617296864,1617296864,1.0000,1.0000,1.0000,0.3200,0.9320
1,Deep Learning with Python,Francois Chollet,google_books,1yyHEQAAQBAJ,"Deep Learning with Python, Third Edition",Francois Chollet; Matthew Watson,Simon and Schuster,ingles,9781633436589,1633436586,1.0000,1.0000,1.0000,0.3200,0.9320
3,Understanding Deep Learning,Simon J.D. Prince,google_books,pPyxEAAAQBAJ,Understanding Deep Learning,Simon J.D. Prince,MIT Press,ingles,9780262377102,0262377101,1.0000,1.0000,1.0000,1.0000,1.0000
4,Probabilistic Machine Learning: An Introduction,Kevin P. Murphy,google_books,wrZNEAAAQBAJ,Probabilistic Machine Learning,Kevin P. Murphy,MIT Press,ingles,9780262046824,0262046822,1.0000,1.0000,1.0000,1.0000,1.0000
5,Why Machines Learn,Anil Ananthaswamy,openlibrary,/works/OL37831042W,Why Machines Learn,Anil Ananthaswamy,Penguin Publishing Group,ingles,9781802060867,0593185749,1.0000,1.0000,1.0000,0.1333,0.9133
5,Why Machines Learn,Anil Ananthaswamy,google_books,yLfPEAAAQBAJ,Why Machines Learn,Anil Ananthaswamy,Random House,ingles,9781802060874,1802060871,1.0000,1.0000,1.0000,0.2222,0.9222
5,Why Machines Learn,Anil Ananthaswamy,google_books,BZHPEAAAQBAJ,Why Machines Learn,Anil Ananthaswamy,Penguin,ingles,9780593185759,0593185757,1.0000,1.0000,1.0000,0.3077,0.9308
6,Structure and Interpretation of Computer Programs,Harold Abelson; Gerald Jay Sussman,openlibrary,/works/OL3267304W,Structure and Interpretation of Computer Programs (SICP),Harold Abelson; Gerald Jay Sussman; Julie Sussman,Springer,aleman,9780262011532,3540423427,1.0000,1.0000,0.0000,0.3529,0.8353
6,Structure and Interpretation of Computer Programs,Harold Abelson; Gerald Jay Sussman,openlibrary,/works/OL39109952W,Structure and Interpretation of Computer Programs,Harold Abelson; Gerald J. Sussman; Julie Sussman,MIT Press,ingles,9780262510462,0262510464,1.0000,0.9355,1.0000,1.0000,0.9839
6,Structure and Interpretation of Computer Programs,Harold Abelson; Gerald Jay Sussman,google_books,iL34DwAAQBAJ,"Structure and Interpretation of Computer Programs, second edition",Harold Abelson; Gerald Jay Sussman,MIT Press,ingles,9780262510875,0262510871,1.0000,1.0000,1.0000,1.0000,1.0000
6,Structure and Interpretation of Computer Programs,Harold Abelson; Gerald Jay Sussman,google_books,WSUuEAAAQBAJ,Structure and Interpretation of Computer Programs,Harold Abelson; Gerald Jay Sussman,MIT Press,ingles,9780262367622,0262367629,1.0000,1.0000,1.0000,1.0000,1.0000
6,Structure and Interpretation of Computer Programs,Harold Abelson; Gerald Jay Sussman,google_books,-IoS0AEACAAJ,Structure and Interpretation of Computer Programs,Harold Abelson; Gerald Jay Sussman; Martin Henz; Tobias Wrigstad; Julie Sussman,desconocido,ingles,9780262367639,0262367637,1.0000,1.0000,1.0000,0.5000,0.9500
6,Structure and Interpretation of Computer Programs,Harold Abelson; Gerald Jay Sussman,google_books,9OSMEAAAQBAJ,"Instructor's Manual t/a Structure and Interpretation of Computer Programs, second edition",Julie Sussman,National Geographic Books,ingles,9780262692205,0262692201,1.0000,0.7000,1.0000,0.1176,0.8368
6,Structure and Interpretation of Computer Programs,Harold Abelson; Gerald Jay Sussman,google_books,lTBuzgEACAAJ,Structure And Interpretation Of Computer Programs (2nd Edition),Harold Abelson; Gerald Jay Sussman; Julie Sussman,desconocido,ingles,9788173715273,8173715270,1.0000,1.0000,1.0000,0.5000,0.9500
6,Structure and Interpretation of Computer Programs,Harold Abelson; Gerald Jay Sussman,google_books,_bo0YAAACAAJ,Computer exercises to accumpany structure and interpretation of computer programs : version for IBM PC compatible machines,Harold Abelson; Gerald Jay Sussman,desconocido,ingles,9780070004429,0070004420,1.0000,1.0000,1.0000,0.5000,0.9500
6,Structure and Interpretation of Computer Programs,Harold Abelson; Gerald Jay Sussman,google_books,JpJqPgAACAAJ,Structure and Interpretation of Computer Programs,Harold Abelson; Gerald J. Sussman,desconocido,ingles,9780262510455,0262510456,1.0000,0.9688,1.0000,0.5000,0.9422
7,Learn Physics with Functional Programming,Scott N. Walck,openlibrary,/works/OL28844268W,Learn Physics with Functional Programming,Scott N. Walck,"No Starch Press, Incorporated",ingles,9781718501676,1718501676,1.0000,1.0000,1.0000,1.0000,1.0000
7,Learn Physics with Functional Programming,Scott N. Walck,google_books,qS1mEAAAQBAJ,Learn Physics with Functional Programming,Scott N. Walck,No Starch Press,ingles,9781718501669,1718501668,1.0000,1.0000,1.0000,1.0000,1.0000
8,Grokking Algorithms,Aditya Bhargava,openlibrary,/works/OL19546865W,Grokking Algorithms: An illustrated guide for programmers and other curious people,Aditya Y. Bhargava,Manning Publications,ingles,9781617292231,1617292230,1.0000,1.0000,1.0000,1.0000,1.0000
8,Grokking Algorithms,Aditya Bhargava,openlibrary,/works/OL25919119W,Grokking Algorithms,Aditya Y. Bhargava,Manning,ingles,9781638353348,1638353344,1.0000,1.0000,1.0000,1.0000,1.0000
8,Grokking Algorithms,Aditya Bhargava,openlibrary,/works/OL37769525W,"Grokking Algorithms, Second Edition",Aditya Y. Bhargava,Manning,ingles,9781633438538,1633438538,1.0000,1.0000,1.0000,1.0000,1.0000
8,Grokking Algorithms,Aditya Bhargava,google_books,rcj3EAAAQBAJ,"Grokking Algorithms, Second Edition",Aditya Y Bhargava,Simon and Schuster,ingles,9781633438538,1633438538,1.0000,1.0000,1.0000,0.3200,0.9320
